S.No.,Post office,Office type,Pincode
194,Sakinaka,S.O,400072
195,Santacruz Central,S.O,400054
196,Santacruz P&t Colony,S.O,400029
197,Santacruz(East),S.O,400055
198,Santacruz(West),S.O,400054
199,Secretariate,S.O,400032
200,Seepz,S.O,400096
201,Sewri,S.O,400015
202,Sharma Estate,S.O,400063
203,Shivaji Nagar,S.O,400043
204,Shivaji Park,S.O,400028
205,Sindhi Society,S.O,400071
206,Sion,S.O,400022
207,Stock Exchange,S.O,400001
208,T.F.Donar,S.O,400088
209,Tagore Nagar,S.O,400083
210,Tajmahal,S.O,400001
211,Tank Road,S.O,400033
212,Tardeo,S.O,400007
213,Thakurdwar,S.O,400002
214,Tilak Nagar,S.O,400089
215,Town Hall,S.O,400001
216,Transit Camp,S.O,400022
217,Trombay,S.O,400088
218,Tulsiwadi,S.O,400034
219,Usha Nagar,S.O,400078
220,V J B Udyan,S.O,400027
221,V K Bhavan,S.O,400010
222,V.P. Road,S.O,400052
223,V.W.T.C.,S.O,400005
224,Vakola,S.O,400055
225,Vesava,S.O,400061
226,Vidyanagari,S.O,400098
227,Vihar Road,S.O,400072
228,Vikhroli,S.O,400079
229,Vileeparle (East),S.O,400057
230,Vileparle Railway Station,S.O,400057
231,Vileparle(West),S.O,400056
232,Wadala Rs,S.O,400031
233,Wadala,S.O,400031
234,Wadala Truck Terminal,S.O,400037
235,Worli Colony,S.O,400030
236,Worli Naka,S.O,400018
237,Worli Police Camp,S.O,400030
238,Worli,S.O,400018
239,Worli Sea Face,S.O,400030
